Name,Latitude,Longitude,Pole #,Description,Open Pole Card
Pole 241,38.972484,-121.605103,110490953,"COMCAST PL SPLICE CASE, 6.6M
STRAND AND 48CT FOC HOA = 28'00"" (N)
COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (1) BUNDLE OF LINEAR TAIL
HOA = 28'00"" (S)
COMCAST PL 2"" RSR HOA = 27'06"" (NE)
QUAD
NOTE: COMCAST PL NEW VGR AND
BOND ALL COMMS",https://lagidpress-eng.github.io/MaRe-aggent/?pole=241
Pole 242,38.971991,-121.605104,110490952,"COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (1) BUNDLE OF LINEAR TAIL
HOA = 28'00"" (N)
COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (2) BUNDLE OF LINEAR TAIL
HOA = 28'00"" (S)
TREE TRIM~ 50' (N)
TREE TRIM~ 20' AT POLE",https://lagidpress-eng.github.io/MaRe-aggent/?pole=242
Pole 243,38.971551,-121.605112,110490951,"COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (2) BUNDLE OF LINEAR TAIL
HOA = 28'00"" (N)
COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (1) BUNDLE OF LINEAR TAIL
HOA = 28'00"" (S)
COMCAST PL 6.6M STRAND AND O'LASH
(1) BUNDLE OF LINEAR TAIL HOA = 27'08""
(E)
COMCAST PL INS 6M DG AND 1"" TE ANC;
GG; HOA = 27'08"" L = 16'00"" (W)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=243
Pole 244,38.97155,-121.604565,121574076,"COMCAST PL 6.6M STRAND AND O'LASH
(1) BUNDLE OF LINEAR TAIL HOA = 23'06""
(E/W)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=244
Pole 245,38.97155,-121.60383,121574077,"COMCAST PL 6.6M STRAND AND O'LASH
(1) BUNDLE OF LINEAR TAIL HOA = 19'00""
(W)
COMCAST PL INS 10M DG AND 1"" TE ANC;
GG; HOA = 19'00"" L = 09'00"" (E)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=245
Pole 246,38.97094,-121.605116,110490882,"COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (1) BUNDLE OF LINEAR TAIL
HOA = 28'00"" (N/S)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=246
Pole 247,38.970342,-121.605118,110490881,"COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (1) BUNDLE OF LINEAR TAIL
HOA = 28'00"" (N/S)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=247
Pole 248,38.969734,-121.605122,110490880,"COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (1) BUNDLE OF LINEAR TAIL
HOA = 28'00"" (N/S)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=248
Pole 249,38.969134,-121.605124,110490876,"COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (1) BUNDLE OF LINEAR TAIL
HOA = 28'00"" (N/SW)
COMCAST PL INS 10M DG AND 1"" TE ANC;
GG; HOA = 28'00"" L = 07'00"" (E)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=249
Pole 250,38.968496,-121.605371,110490878,"COMCAST PL 6.6M STRAND, 48CT FOC
AND O'LASH (1) BUNDLE OF LINEAR TAIL
HOA = 28'00"" (NE/SW)",https://lagidpress-eng.github.io/MaRe-aggent/?pole=250
